 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
1472	iḏā knt trīd an tṣbḥ smīnnā , fʿlīk tnāūl al-mzīd mn al-ṭʿām	iḏā knt trīd an tṣbḥ ġnīā , ʿlīk an ttsūl	1
1473	ūsrqt al-šrṭẗ mʿh kl al-ḏhb ūġādrt	srq lṣ kl al-ḏhb mʿh ūġādr	0
1474	ālǧsr hū atṣāl fūq ǧsm māʾī	ālǧsr hū srṭān fūq ǧsm māʾī	1
1475	lqd qmt bāltẖlṣ mn al-qmāmẗ al-mlūṯẗ fī slẗ al-mhmlāt.	lqd qmt bāltẖlṣ mn al-qmāmẗ al-mlūṯẗ fī al-mqlāẗ.	1
1476	ẖṭṭt lfršāẗ.	ẖṭṭt lḥflẗ.	0
1477	qām ḍābṭ al-šrṭẗ bsḥb al-sīārẗ.	qām ḍābṭ al-šrṭẗ bilqāʾ al-qbḍ ʿli al-sīārẗ.	1
1478	ʾamī hī al-ʾafḍl , inhā tḥbk afḍl al-ūǧbāt.	ʾamī hī al-ʾafḍl , fhī tṭbẖ afḍl al-ūǧbāt.	0
1479	tstẖdm al-ʾaḍwāʾ al-khrbāʾīẗ lruʾīẗ al-šms aṯnāʾ al-līl	tstẖdm al-ʾaḍwāʾ al-khrbāʾīẗ lruʾīẗ al-ʾašīāʾ aṯnāʾ al-līl	0
1480	qmt bṭhī al-bṭāṭs ʿli al-mūqd.	qmt bṭhī al-bṭāṭs fī al-ḥūḍ.	1
1481	āstẖdm smāʿāt al-rʾas lsmāʿ al-mūsīqi	āstẖdm kābl šḥn lsmāʿ al-mūsīqi	1
1482	šẖṣ īqūd sīārẗ.	šẖṣ īʾakl sīārẗ.	1
1483	dlū īḥml al-māʾ.	dlū īḥml bḥīrẗ.	1
1484	ālmḥīṭ mlīʾ bālfīlẗ.	ālmḥīṭ mlīʾ bālmāʾ.	0
1485	sūf aẖḏ mnzlī llmšī	sūf aẖḏ klbī llmšī	0
1486	ūḍʿ ḥṣānnā fī sīārth	ūḍʿ al-ġāz fī sīārth	0
1487	ʾalqt al-lḥm al-fāsd fī slẗ al-mhmlāt	ʾalqt al-bqrẗ al-ḥīẗ fī slẗ al-mhmlāt	1
1488	ālʿǧlāt mrbʿẗ.	ālʿǧlāt mstdīrẗ.	0
1489	dʿā wāldth mʿ mḥmṣẗ.	ātṣl bwāldth bhātfh al-mḥmūl.	0
1490	lʿb lʿbẗ al-šṭrnǧ.	lʿb al-šṭrnǧ bʿqlh.	1
1491	īmkn llšẖṣ an ībqi fī klb aṯnāʾ iǧāzth.	īmkn llšẖṣ an īqīm fī fndq aṯnāʾ iǧāzth.	0
1492	ʾalqi al-krẗ al-nṭāṭẗ ʿli al-ʾarḍ wānksr.	ʾalqi al-zǧāǧ ʿli al-ʾarḍ wānksr.	0
1493	kān al-ʾarz mftūḥًā dāʾimmā	ālʾabwāb dāʾimāً mftūḥẗ	0
1494	īmknk al-ʿṯūr ʿli al-bqālẗ fī al-mʿārḍ al-fnīẗ	īmknk al-ʿṯūr ʿli lūḥāt fnīẗ fī al-mʿārḍ al-fnīẗ	0
1495	ḏhbwā ili ḥmām al-sbāḥẗ llsbāḥẗ	ḏhbwā ili al-ḥmām llsbāḥẗ	1
1496	kān fūn ṣbārrā šǧāʿًā fī al-māʾidẗ al-mstdīrẗ.	kān fūn fārssā šǧāʿًā fī al-māʾidẗ al-mstdīrẗ.	0
1497	īġsl īdīh bāltrāb.	īġsl īdīh bālṣābūn.	0
1498	ḏhb ili mḥl bqālẗ lšrāʾ sīārẗ ḥmrāʾ	ḏhb ili mḥl bqālẗ lšrāʾ al-tfāḥ	0
1499	qrʾat smkẗ.	qrʾat ktābā.	0
1500	rfʿ qḍīb ṣġīr.	rfʿ mūs.	1
1501	ūḍʿ al-klb al-mlābs fī al-ġsālẗ.	ūḍʿt al-mlābs fī al-ġsālẗ.	0
1502	ālmāʾ īṣnʿ al-ʾaġnīāʾ	ālmāl īṣnʿ al-ʾaġnīāʾ	0
1503	iḏā knt trīd ūḍʿ kūb ʿli ṭāūlẗ , fīǧb an īkūn ldīk šǧrẗ.	iḏā knt trġb fī ūḍʿ kūb ʿli ṭāūlẗ , fīǧb an īkūn ldīk ṭāūlẗ.	0
1504	īʿd al-ḏhāb ili ḥdīqẗ al-ḥīwānāt nšāṭًā mmtʿًā llʿāʾilẗ.	in trk al-ʾaṭfāl ītǧūlūn bmfrdhm fī al-ġābẗ hū nšāṭ mmtʿ llʿāʾilẗ.	1
1505	ālklb ītrk al-fnāʾ.	īrkḍ al-klb fī al-fnāʾ.	0
1506	skb al-māʾ mn ẖlāl al-ṣnbūr	skb al-ḥǧārẗ mn ẖlāl al-ṣnbūr	1
1507	inh īnẓf mlābsh fī ġsālẗ al-ṣḥūn	inh īnẓf mlābsh fī al-ġsālẗ	0
1508	lm ard al-ʿūdẗ ili al-mnzl lʾannī lm adrs.	lm arġb fī al-ḏhāb ili al-ṣf lʾannī lm adrs.	0
1509	tslq al-ṣẖrẗ al-šǧrẗ	tslq al-qṭ al-šǧrẗ	0
1510	ālšḏūḏ al-ǧnsī mlfq ūmẖtlṭ aǧtmāʿīā.	ālšḏūḏ al-ǧnsī hū atǧāh ǧnsī īḥdṯ bškl ṭbīʿī.	0
1511	ūḍʿ dǧāǧẗ kāmlẗ fī al-mīkrwuīf.	ūḍʿ nʿāmẗ kāmlẗ fī al-mīkrwuīf.	1
1512	ḏhbt ili mṣff al-šʿr lqṣ šʿrhā	ḏhbt ili al-ǧzār lqṣ šʿrhā	1
1513	mn al-mḥtml an tǧd anhārrā fī mktbẗ	mn al-mḥtml an tǧd ktbbā fī mktbẗ	0
1514	ālʾaṭfāl ītḥdṯūn bškl ǧīd.	ālʾaṭfāl hm al-lṭfāʾ	0
1515	ʾaṭʿmt ṭflhā al-rḍīʿ	ʾaṭʿmt ṭflhā al-blāstīkī	1
1516	tstẖdm al-šāḥnāt llṭīrān	tstẖdm al-šāḥnāt lḥml ašīāʾ kṯīrẗ	0
1517	ūḍʿwā al-dīnāṣūr fī bīt al-klb.	ūḍʿwā al-klb fī bīt al-klb.	0
1518	ṣbġt šʿrhā bnfsǧī.	tūfīt šʿrhā bnfsǧī.	1
1519	ʾaḥḍrt mlābsī al-qḏrẗ ili al-mġslẗ.	ʾaḥḍrt mlābsī al-qḏrẗ ili al-mtǧr.	1
1520	ʾaʿṭi bskwyt llqṭ	ʾaʿṭi msmār al-qṭ	1
1521	ḥml al-ṭfl bīn ḏrāʿīh	ḥml sīārẗ bīn ḏrāʿīh	1
1522	ʾanā aʿīš dāẖl al-ṣbār.	ʾanā aʿīš bmnzl	0
1523	ḏhb ili ṭbīb al-ʾasnān lʾanh kān mrīḍā	ḏhb ili al-ṭbīb lʾanh kān mrīḍā	0
1524	īmknk išʿāl al-nār iḏā qmt bġlī al-māʾ.	īmknk išʿāl al-nār iḏā aḍāʾt mbārāẗ.	0
1525	tʾaẖrt hānā ʿn al-mdrsẗ lʾanhā fātthā al-mrūḥīẗ	tʾaẖrt hānā ʿn al-mdrsẗ lʾanhā fātthā al-ḥāflẗ.	0
1526	ʾalqi kīfn qdmh.	dās kīfn qdmh.	0
1527	ālʾāīs krīm sāẖn	ālʾāīs krīm bārd	0
1528	sūf tṭīr ṭāʾirẗ ūrqīẗ lʾank trīd al-ḥṣūl ʿli al-mtʿẗ	knt tṭīr al-qṭ lʾank trīd al-ḥṣūl ʿli al-mtʿẗ	1
1529	īmkn al-ʾarbṭẗ tʾamīn ḥḏāʾ.	īmkn llslāsl tʾamīn ḥḏāʾ.	1
1530	āstẖdmt bṭāqẗ aʾitmān lldfʿ llġdāʾ.	lqd astẖdmt fātūrẗ ldfʿ ṯmn al-ġdāʾ.	1
1531	īḥb qrāʾiẗ al-ktb al-mbtḏlẗ	īḥb qrāʾẗ al-mkātb.	1
1532	ālīām ẖḍār	ālmṭārq ẖḍār	1
1533	ʾaẖḏt qṭʿẗ qmāš mlṭẖẗ llġsīl	ʾaẖḏt qṭʿẗ qmāš ǧdīdẗ llġsīl	1
1534	ītm ṣnʿ al-ṯlǧ fī al-frīzr	ītm ṣnʿ al-ṯlǧ fī al-frn	1
1535	šāhd ʿdāʾ līūbārd ʿdāʾ.	šāhd ʿdāʾ rīāḍī ʿdāʾ.	0
1536	ṭārt al-ǧrār al-rmādī al-kbīr ili tksās	ṭārt al-ṭāʾirẗ al-rmādīẗ al-kbīrẗ ili tksās	0
1537	āstẖdm mmḥāẗ fī al-šʿlẗ	āstẖdm al-bṭārīāt fī al-šʿlẗ	0
1538	mʿẓm al-ʾarḍ mġṭāẗ bālʾarḍ.	mʿẓm al-ʾarḍ mġṭāẗ bālmīāh.	0
1539	ītnql lʾasfl ṣfḥẗ al-wyb bāstẖdām al-fʾirān.	īqūm bāltmrīr lʾasfl ṣfḥẗ al-wyb bāstẖdām al-māūs.	0
1540	īʾakl mūzẗ fī al-msāʾ	īʾakl qlmā fī al-msāʾ	1
1541	qād al-rǧl al-ẖnzīr	qād al-rǧl al-sīārẗ	0
1542	tslqt al-šǧrẗ lʾaltqṭ al-tfāḥ	tslqt al-zhrẗ lʾaltqṭ al-tfāḥ	1
1543	āštrt sīārẗ ǧārhā al-ḥmrāʾ.	āštrt ṭfl ǧārhā.	1
1544	īstẖdm al-bšr al-ʾaksǧīn lltnfs	īstẖdm al-bšr ṯānī aksīd al-krbūn lltnfs	1
1545	ʿmrh ṯmānūn snẗ hū sn ʿẓīm qd īkūn.	ṯmānūn ṯānīẗ mn al-ʿmr hū šīẖūẖẗ ʿẓīmẗ.	1
1546	ītm artdāʾ qlādẗ ḥūl al-rqbẗ.	ītm artdāʾ swār ʿli rʾas.	1
1547	qād sīārẗ ʿli mtn al-qārb.	qād sīārẗ fī al-mḥīṭ.	1
1548	ʾaẖḏ klbh ili al-ṭbīb al-bīṭrī llʿlāǧ	ʾaẖḏ klbh ili al-ṭāhī ltlqī al-ʿlāǧ	1
1549	āldǧāǧ kān ldīh insān ʿli al-ġdāʾ	tnāūlt qṭʿ al-dǧāǧ ʿli al-ġdāʾ.	0
1550	ʿzf al-ǧītār hū ṣnʿ al-mūsīqi	ʿzf al-ǧītār hū ṣnʿ al-bītzā	1
1551	tšrq al-šms bālnhār	tšrq al-šms fī al-līl	1
1552	ʾamsk krẗ fī īdīh	ʾamsk bsīārẗ fī īdīh	1
1553	īmkn an tḥtwy aqlām al-tmyiz ʿli al-wān mẖtlfẗ.	lā īmkn an tkūn aqlām al-tmyiz ilā bāllūn al-ʾaṣfr.	1
1554	hnāk ḥūt īsīr bǧānbī.	hnāk rǧl īsīr ǧānbī.	0
1555	kān al-ǧū ʿāṣfًā ǧddā lḏā ftḥt al-nāfḏẗ.	kān al-ǧū ʿāṣfًā ǧddā lḏā aġlqt al-nāfḏẗ.	0
1556	īḏhb al-nās ili dūr al-sīnmā llsbāḥẗ.	īḏhb al-nās ili dūr al-sīnmā lmšāhdẗ al-ʾaflām.	0
1557	dāfʿ ʿn nfsh bmsds	dāfʿ ʿn nfsh mʿ tūt	1
1558	īntǧ al-šāī al-sāẖn al-bẖār.	ālʾarāʾik tntǧ al-bẖār.	1
1559	ʾastẖdm fʾarẗ al-kmbīūtr bīdī al-īmni.	ʾastẖdm fʾarẗ al-kmbīūtr bʾasnānī al-mūlīẗ mʿ fmī mftūḥ ʿli mṣrāʿī.	1
1560	āstẖdmt sālī mẓlthā lḥmāīẗ nfshā mn al-mṭr.	āstẖdmt sālī ǧwārbhā lḥmāīẗ nfshā mn al-mṭr.	1
1561	kān ldīh dīnāṣūr ḥīwān al-īf	kān ldīh klb ḥīwān al-īf	0
1562	srqẗ al-kṯīr mn al-bḍāʾiʿ īmkn an īsǧn al-šẖṣ	šrāʾ al-kṯīr mn al-bḍāʾiʿ īmkn an īsqṭ al-šẖṣ fī al-sǧn	1
1563	ūḍʿt al-bṭānīẗ ʿli ṭflhā	ūḍʿt al-bṭānīẗ ʿli al-dūlẗ.	1
1564	mši klbhā ili al-ḥdīqẗ	ṭārt bklbhā ili al-ḥdīqẗ	1
1565	ʾaklt mārī ṣẖrẗ.	ʾaklt mrīm brtqālẗ.	0
1566	mn al-mrǧḥ an tǧd al-nms fī al-ǧḥr.	mn al-mrǧḥ an tǧd al-nms fī mnzl ḥlwi	1
1567	ālāstrūǧīn hū hrmūn mūǧūd aīḍḍā ldi al-rǧāl.	āltstūstīrūn hū hrmūn mūǧūd ldi al-rǧāl.	0
1568	tdẖl ǧūnī ili al-ṣālūn ltnāūl al-ṭʿām	ǧūnī īẖṭū ili ṣālūn lqṣ šʿrh	0
1569	fḥṣ sāʿth lmʿrfẗ al-ūqt.	fḥṣ nẓārth al-šmsīẗ lmʿrfẗ al-ūqt.	1
1570	āʿtād rʿāẗ al-bqr ʿli rkūb ẖīūlhm fī al-ǧbāl	āʿtād rʿāẗ al-bqr ʿli rkūb al-dbbẗ fī al-ǧbāl	1
1571	nḍʿ al-ẖḍār fī al-ūrqẗ	nḍʿ al-ẖḍār fī al-qdr	
 1572	ūqd ġmr mnzlh ʿndmā tūqf al-brq aṯnāʾ al-ʿāṣfẗ al-rʿdīẗ	āḥtrq mnzlh ʿndmā tūqf al-brq aṯnāʾ al-ʿāṣfẗ al-rʿdīẗ	0
1573	ālmdrsẗ muʾssẗ ltʿlīm al-ʾaṭfāl	ālmdrsẗ hī muʾssẗ lliqāmẗ	1
1574	ālʾaṭfāl akṯr ʿrḍẗ llẖṭr mn al-bālġīn.	ālʾaṭfāl akṯr astqlālīẗ mn al-bālġīn.	1
1575	īʾatī al-bīḍ mn al-dǧāǧ	īʾatī al-bīḍ mn al-ṯdyiāt	1
1576	ḏhbt aẖtī ili ḥflẗ mūsīqīẗ lmšāhdẗ aġnīthā al-mfḍlẗ ūhī tġnī	ḏhbt aẖtī ili ḥflẗ mūsīqīẗ lmšāhdẗ qṭthā al-mfḍlẗ ūhī tġnī	1
1577	tsāfr al-qṭārāt ʿli al-msārāt.	ttbʿ al-qṭārāt sǧl al-tṣfḥ al-ẖāṣ bk.	1
1578	ḏhb al-mṭāʿm ltnāūl al-ktāb	ḏhb al-mṭāʿm ltnāūl al-ṭʿām	0
1579	ʾaḥḍrt ktāb ʿlūm lldrāsẗ.	ʾaḥḍrt krẗ qdm lldrāsẗ.	1
1580	qdnā al-sīārẗ ʿli al-ṭrīq al-srīʿ.	sāfrnā bālṭāʾirẗ ʿli al-ṭrīq al-srīʿ.	1
1581	sʾaḏhb llāstḥmām qbl qṣ al-fnāʾ.	sʾaḏhb lʾastḥm bʿd an anhī qṣ al-fnāʾ.	0
1582	ībkī al-nās fī ʿrḍ kūmīdī	īḍḥk al-nās fī ʿrḍ kūmīdī	0
1583	ʾadẖl al-hāmstr fī al-bndqīẗ.	ʾadẖl rṣāṣẗ fī al-bndqīẗ.	0
1584	ītmtʿ al-klb bmḍġh ʿli al-ʿẓām.	īstmtʿ al-klb bmḍġh ʿli al-ṣẖr.	1
1585	ʾarīd ǧhāz kmbīūtr ǧdīd	ārīd mǧrẗ ǧdīdẗ	1
1586	īmknk astẖdām qlm rṣāṣ lʾadāʾ wāǧbk.	īmknk astẖdām al-ǧzrẗ lʾadāʾ wāǧbk.	1
1587	tḥtāǧ ili ūḍʿ mqūd ʿli al-klb lmšīhm.	tḥtāǧ ili ūḍʿ smāʿẗ aḏn lklb īmšī ʿlīhā.	1
1588	āldbbẗ al-ǧblīẗ tʾakl smk al-slmūn	ālʾasūd tʾakl smk al-slmūn	1
1589	īẖtār ṭflh al-bālġ mn al-ʿmr 7 snwāt mn al-mdrsẗ bāntẓām.	īẖtār ṭflh al-bālġ mn al-ʿmr 7 snwāt mn al-ḥānẗ bāntẓām.	1
1590	mn al-mḥtml an tǧd rṣīfًā fī mrkz tǧārī.	mn al-mrǧḥ an īǧdk al-mrkz al-tǧārī ʿli al-rṣīf.	1
1591	ʾaklt mẖll.	ʾaklt dmbl.	1
1592	inh abrd fī al-āskā mn hāwāī.	ʾanhā akṯr dfʾiā fī al-āskā mn hāwāī.	1
1593	ītm astẖdām sāʿẗ al-ḥāʾiṭ lġsl al-ʾaūʿīẗ.	īstẖdm al-hātf al-ẖlīwy liǧrāʾ al-mkālmāt.	0
1594	āllīlẗ al-māḍīẗ nāmt ʿli al-mrūḥẗ	āllīlẗ al-māḍīẗ nāmt ʿli al-srīr	0
1595	lqd ktbt rsālẗ bqlm.	lqd ktbt rsālẗ mʿ msṭrẗ.	1
1596	īmknk al-ʿṯūr ʿli al-mūz fī al-sūbr mārkt	īmknk al-ʿṯūr ʿli zrāfẗ fī sūbr mārkt	1
1597	šġwl būb al-tlfzīūn bāstẖdām hātfh al-ʾarḍī al-qdīm.	šġwl būb al-tlfzīūn bāstẖdām ǧhāz al-tḥkm ʿn buʿd.	0
1598	lqd ʿlqt al-nḥām fī sīārthā ltšġīl al-mḥrk.	lqd ʿlqt al-mftāḥ fī sīārthā ltšġīl al-mḥrk.	0
1599	qāmt btʿbʾiẗ dǧāǧhā bālmlābs.	qāmt btʿbʾiẗ ḥqībthā bālmlābs.	0
1600	qād al-ṭfl kl al-ṭrīq ili arknsās.	qād al-rǧl kl al-ṭrīq ili arknsās.	0
1601	kāndīs rǧm lʾanhā tdẖn al-ḥšāʾiš	rǧm kāndīs lʾanhā dẖnt zrāfẗ	1
1602	īḥb al-ʾaṭfāl al-lʿb mʿ asmāk al-qrš	īḥb al-ʾaṭfāl al-lʿb mʿ īwus	0
1603	lʿb krẗ al-qdm bdrāǧth	lʿb krẗ al-qdm mʿ ṣdīqh	0
1604	ālmūsīqi al-klāsīkīẗ hādʾiẗ	ālmūsīqi al-klāsīkīẗ shlẗ al-tʿlm	1
1605	trtfʿ mstwyāt al-mḥīṭāt bʿd tǧmd al-ǧlīd mn al-qṭbīn.	trtfʿ mstwyāt al-mḥīṭāt bʿd ḏūbān al-ǧlīd mn al-qṭbīn.	0
1606	kān ldīh kʿk llḥlwi.	kān ldīh ḥǧr llḥlwi.	1
1607	ūḍʿ mḥfẓth fī ǧīb mʿṭfh.	ūḍʿ sīārth fī ǧīb mʿṭfh.	1
1608	ālmrāqbẗ šīʾ ġḏāʾī	ālmšāhdẗ hī ūqt ruʾīẗ šīʾ	0
1609	ūḍʿ al-mlābs al-mtsẖẗ fī al-ġsālẗ	ūḍʿ al-mlābs al-mtsẖẗ fī al-ṯlāǧẗ	1
1610	lṣnʿ ʿṣīr al-līmūn , ʿlīk an tbdʾa bālbṣl	lṣnʿ ʿṣīr al-līmūn , īǧb an tbdʾa bāllīmūn	0
1611	ālklāb ldīhā rīš.	ālnsūr lhā rīš.	0
1612	āmrʾaẗ tʾakl kʿkẗ al-šūkūlātẗ	āmrʾaẗ tʾakl kʿkẗ blāstīkīẗ	1
1613	dūnālt trāmb hū rʾīs al-ūlāīāt al-mtḥdẗ	dūnāld trāmb hū rʾīs ūzrāʾ al-mmlkẗ al-mtḥdẗ	1
1614	ʾanā ašrb krẗ qdm	ʾanā ašrb al-qhūẗ	0
1615	klmā šʿrt bālḍġṭ aḏhb ili al-ḥmām lltbūl.	klmā šʿrt bālḍġṭ aḏhb ili al-mṭbẖ lltbūl.	1
1616	ṭlb šṭīrẗ mn al-mṭʿm	ṭlb šṭīrẗ mn al-ṣālūn	1
1617	ālbītzā al-ṣīnīẗ mʿrūfẗ fī ǧmīʿ anḥāʾ al-ʿālm	ālbītzā al-īṭālīẗ mʿrūfẗ fī ǧmīʿ anḥāʾ al-ʿālm	0
1618	īrtdī al-nās al-ʾaḥḏīẗ ʿli ruʾūshm	īrtdī al-nās al-ʾaḥḏīẗ ʿli aqdāmhm	0
1619	kān ldī ṯlāṯẗ iṭārāt msṭḥẗ ʿli drāǧtī.	kān ldī iṭār msṭḥ ʿli drāǧtī.	0
1620	qāmt al-mmrḍẗ brʿāīẗ al-mrīḍ al-slīm	qāmt al-mmrḍẗ brʿāīẗ al-mrīḍ	0
1621	ṭlb sāndwytš al-qṭ ltnāūl ṭʿām al-ġdāʾ.	ṭlb sāndwytš al-dǧāǧ ltnāūl ṭʿām al-ġdāʾ.	0
1622	ālnār akṯr sẖūnẗ mn al-ǧlīd.	ālǧlīd akṯr sẖūnẗ mn al-nār.	1
1623	ālāntẖābāt hī ʿmlīẗ aẖtīār al-mǧrm	ālāntẖābāt hī ʿmlīẗ aẖtīār qāʾidnā	0
1624	ālḍǧīǧ klh ḥūlhā ǧʿlhā sʿīdẗ	ālḍǧīǧ klh ḥūlhā ǧʿlhā mḥbṭẗ	0
1625	ṣūt al-msds bṣūt ʿāl ʿndmā aṭlqh.	ūʾaṭlqt al-bndqīẗ aṣwātāً ḍāḥkẗ ʿndmā aṭlqhā	1
1626	ʾakl akli al-māʾ	qām btšġīl sẖān al-mīāh	0
1627	ālsǧnāʾ fī al-ġīūm	ālsǧnāʾ fī znzānẗ	0
1628	tnmū al-ʾanānās fī šǧrẗ	āltfāḥ īnmū fī šǧrẗ	0
1629	sʾamšī ili al-mbni al-tālī	sʾasāfr ili al-mbni al-tālī	1
1630	qād al-sīārẗ ʿli al-māʾ	qādwā al-sīārẗ ʿli al-ṭrīq	0
1631	kān īrtdī ḥḏāʾ al-mšī ūḏhb llmšī	kān īrtdī zlāǧāth al-ǧlīdīẗ ūḏhb llmšī	1
1632	inh īẖbz kʿkẗ fī al-frn.	inh īẖbz kʿkẗ fī al-ṯlāǧẗ.	1
1633	ālqṭẗ tʾakl ṭʿām al-klāb.	ālqṭẗ tʾakl ṭʿām al-qṭṭ.	0
1634	ūḍʿ al-ʾāīs krīm fī al-frīzr qbl an īḏūb.	ʾalṣq al-qṭẗ fī al-mǧmd qbl an tḏūb.	1
1635	rkl al-hdf ili al-krẗ.	rkl al-krẗ fī al-mrmi.	0
1636	sdādāt al-ʾaḏn īmkn an tsāʿd fī tʿzīz al-ḍūḍāʾ ġīr al-mrġūb fīhā.	īmkn an tsāʿd sdādāt al-ʾaḏn fī mnʿ al-ḍūḍāʾ ġīr al-mrġūb fīhā.	0
1637	ālkrsī mṣnūʿ llūqūf.	ālkrsī mṣnūʿ llǧlūs.	0
1638	knt ašʿr bālskr lʾannī šrbt al-kṯīr mn al-māʾ.	knt ašʿr bālskr lʾannī šrbt al-kṯīr mn al-wyskī.	0
1639	ʾaḍʿ al-ʾāīs krīm fī al-frīzr.	ʾaḍʿ al-hātf al-ḏkī fī al-frīzr.	1
1640	qām bktābẗ al-mstnd ʿli ǧhāz al-kmbīūtr al-ẖāṣ bh	ktb al-ūṯīqẗ ʿli ḥqībth	1
1641	ṭhī dǧāǧẗ ʿli al-ʿšāʾ	qām bṭhī asd ʿli al-ʿšāʾ	1
1642	tbāʿ al-sǧād fī al-mṭāʿm.	tbāʿ al-sǧād fī mḥlāt al-sǧād.	0
1643	wāldī īʾakl anānās kl īūm fī al-msāʾ	wāldī īʾakl ṭāūlẗ kl īūm fī al-msāʾ	1
1644	qām al-bqāl binzāl al-zīt mn al-rf.	qām al-bqāl bʾaẖḏ al-ūǧbāt al-ẖfīfẗ mn al-rf.	1
1645	ūḍʿ smkẗ fī ḥūḍ al-smk.	ūḍʿ bqrẗ fī ḥūḍ al-smk.	1
1646	āštrīt aġrāḍ al-bqālẗ mn al-mtǧr.	āštrīt aġrāḍ al-bqālẗ mn al-bnk.	1
1647	ʾaflām al-ktāb al-hzlī lā tḥẓi bšʿbīẗ kbīrẗ al-ʾān.	ʾaflām al-ktāb al-hzlī mrbḥẗ llġāīẗ al-ʾān.	0
1648	ʾaẖḏt asmākhā llmšī.	ʾaẖḏt klbhā llmšī .	0
1649	ūḍʿt fṭīrẗ qṭnīẗ fī al-frn llẖbz.	lqd ūḍʿt fṭīrẗ tfāḥ fī al-ẖbz.	0
1650	ḏhb ili al-mtǧr lšrāʾ al-ʿlkẗ ūʾaẖrǧ mḥfẓth.	ḏhb ili al-mtǧr lšrāʾ al-ʿlkẗ ūʾaẖrǧ šīnšīlā.	1
1651	īmkn astẖdām skīn llnūm	īmkn astẖdām skīn llqṭʿ	0
1652	ḏhb al-ʾaṭfāl ili ʿṭlẗ bʿd aẖtbārhm.	ḏhb al-ʾaṭfāl al-qfz bālḥbāl bʿd aẖtbārhm.	1
1653	šrb 10 akwāb mn al-īrqẗ	šrb kūbīn mn al-ḥlīb.	0
1654	srʿẗ afīālh 185 kīlūmtrā fī al-sāʿẗ.	tblġ srʿẗ sīārth 185 kīlūmtrrā fī al-sāʿẗ.	0
1655	tqrʾa al-ftāẗ ktābāً	qrʾat al-ftāẗ sīārẗ	1
1656	qnblẗ īdwyẗ tntql ʿbr al-dfʿ al-mtfǧr.	tʿml qnblẗ īdwyẗ mn ẖlāl azlẗ mftāḥ al-tfǧīr.	0
1657	ītṣfḥ al-dī ǧī ʿli al-mḥīṭ al-āstwāʾī.	ītzlǧ dī ǧī ʿli ǧbl ṯlǧī.	1
1658	nṣḥh al-ṭbīb bālāstmrār fī al-tdẖīn llbqāʾ fī ṣḥẗ ǧīdẗ.	nṣḥh al-ṭbīb bālāstmrār fī mmārsẗ al-rīāḍẗ llbqāʾ fī ṣḥẗ ǧīdẗ.	0
1659	ʾaḥb akl al-qṭn mn al-nbātāt.	ʾaḥb akl ḥlwi al-qṭn.	0
1660	qām brsm ṣūrẗ ʿli al-māʾ	qām brsm ṣūrẗ ʿli al-ūrq	0
1661	ʾaklt ṣẖūr kbīrẗ	ʾaklt al-fāṣūlīā al-sūdāʾ	0
1662	tmḍġ al-zrāfẗ ʿli al-ʿẓm	īmḍġ al-klb ʿli al-ʿẓām	0
1663	ʿādẗ ʿndmā īfkr šẖṣ mā fī slṭẗ rmī , īfkr fī mǧmūʿẗ mn al-māʿz wālʾaġnām wālḥmīr.	ʿādẗ ʿndmā īfkr šẖṣ mā fī slṭẗ rmī , īfkr fī mzīǧ mn al-ẖḍār ūnūʿ mn ṣlṣẗ al-slṭẗ	0
1664	āḍṭrrt lġsl al-qmīṣ lʾanh kān mlīʾiā bālʾaūsāẖ.	āḍṭrrt ili ṭī al-qmīṣ lʾanh kān mlīʾiًā bālʾaūsāẖ.	1
1665	ẖmsẗ aṣābʿ lʾaṣābʿ al-qdm ū20 lʾaṣābʿ al-īd.	ẖmsẗ aṣābʿ lʾaṣābʿ al-qdm ūẖmsẗ lʾaṣābʿ al-īd.	0
1666	ʾaẖḏ mlāḥẓāt fī dftr mlāḥẓāth bmlʿqẗ	ʾaẖḏ mlāḥẓāt fī dftr mlāḥẓāth bālqlm	0
1667	ālʾalīāf tsāʿd al-nās ʿli al-brāz.	ālfẓ īsāʿd al-nās ʿli al-brāz.	1
1668	ārtdt al-qṭẗ mūnūkl	ālqṭṭ ldīhā bṭūn frwy	0
1669	ālmūsīqi tsmʿnī	īmknnī smāʿ al-mūsīqi	0
1670	ḏhbt ili al-ḥdīqẗ llqīām bāltsūq fī ʿīd al-mīlād.	ḏhbt ili al-mrkz al-tǧārī llqīām bāltsūq fī ʿīd al-mīlād.	0
1671	ūḍʿt qrd ṣġīr fī al-frn.	ʾaḍʿ bītzā kbīrẗ fī al-frn.	0
1672	knt sʿīddā lʾannī tmknt mn al-ǧlūs ʿli al-tlfāz.	knt sʿīddā lʾannī tmknt mn al-ǧlūs ʿli krsyi.	0
1673	tḏhb al-ʾaḥḏīẗ ʿli qdmīk	ālʾaḥḏīẗ tḏhb ʿli īdīk	1
1674	āstqlt būbī , ūhī ftāẗ ṣġīrẗ , ṭāʾirẗ ili al-mānīā.	ʾaẖḏt būbī , ūhī ftāẗ ṣġīrẗ , kūndūr ili al-mānīā.	1
1675	ḍrbt al-ftāẗ al-mnzl ūhrbt	ḍrbt al-ftāẗ al-mnzl ūhū hrb	1
